Method,MC,Topic,Topic_Name,Keywords,Topic_Count_in_TopicInfo,Doc_Count,Total_Citations,Avg_Citations,Mean_Year,Median_Year,Min_Year,Max_Year,Rep_TopK,Rep_PMIDs_TopK,Rep_Titles_TopK,Rep_PMID,Rep_Year,Rep_Citation_Count,Rep_Topic_Probability,Rep_Title,Rep_Abstract
baseline,39,0,therapy · eradication · triple,therapy; eradication; mg; triple; quadruple; treatment; day; amoxicillin; rates; regimen,2042.0,2042,59323.0,29.051,2016.502,2017.0,2005,2025,5,28071659 | 17608775 | 20525969 | 27102658 | 21345487,"ACG Clinical Guideline: Treatment of Helicobacter pylori Infection. | American College of Gastroenterology guideline on the management of Helicobacter pylori infection. | Helicobacter pylori treatment in the era of increasing antibiotic resistance. | The Toronto Consensus for the Treatment of Helicobacter pylori Infection in Adults. | Helicobacter pylori eradication with a capsule containing bismuth subcitrate potassium, metronidazole, and tetracycline given with omeprazole versus clarithromycin-based triple therapy: a randomised, open-label, non-inferiority, phase 3 trial.",28071659,2017,1534,,ACG Clinical Guideline: Treatment of Helicobacter pylori Infection.,"Helicobacter pylori (H. pylori) infection is a common worldwide infection that is an important cause of peptic ulcer disease and gastric cancer. H. pylori may also have a role in uninvestigated and functional dyspepsia, ulcer risk in patients taking low-dose aspirin or starting therapy with a non-steroidal anti-inflammatory medication, unexplained iron deficiency anemia, and idiopathic thrombocytopenic purpura. While choosing a treatment regimen for H. pylori, patients should be asked about previous antibiotic exposure and this information should be incorporated into the decision-making process. For first-line treatment, clarithromycin triple therapy should be confined to patients with no previous history of macrolide exposure who reside in areas where clarithromycin resistance amongst H. pylori isolates is known to be low. Most patients will be better served by first-line treatment with bismuth quadruple therapy or concomitant therapy consisting of a PPI, clarithromycin, amoxicillin, and metronidazole. When first-line therapy fails, a salvage regimen should avoid antibiotics that were previously used. If a patient received a first-line treatment containing clarithromycin, bismuth quadruple therapy or levofloxacin salvage regimens are the preferred treatment options. If a patient received first-line bismuth quadruple therapy, clarithromycin or levofloxacin-containing salvage regimens are the preferred treatment options. Details regarding the drugs, doses and durations of the recommended and suggested first-line and salvage regimens can be found in the guideline."
baseline,39,23,mutations · resistance · clarithromycin,mutations; resistance; clarithromycin; 23s; rrna; mutation; a2143g; point; strains; a2142g,333.0,333,8606.0,25.844,2015.823,2017.0,2005,2025,5,17184282 | 20400110 | 16418408 | 19759218 | 15980346,"The emergence of antibiotic resistance by mutation. | Clarithromycin-resistant genotypes and eradication of Helicobacter pylori. | Clarithromycin-resistant genotypes and eradication of Helicobacter pylori. | Evaluation of a new test, genotype HelicoDR, for molecular detection of antibiotic resistance in Helicobacter pylori. | Macrolide resistance in Campylobacter jejuni and Campylobacter coli: molecular mechanism and stability of the resistance phenotype.",17184282,2006,391,,The emergence of antibiotic resistance by mutation.,"The emergence of mutations in nucleic acids is one of the major factors underlying evolution, providing the working material for natural selection. Most bacteria are haploid for the vast majority of their genes and, coupled with typically short generation times, this allows mutations to emerge and accumulate rapidly, and to effect significant phenotypic changes in what is perceived to be real-time. Not least among these phenotypic changes are those associated with antibiotic resistance. Mechanisms of horizontal gene spread among bacterial strains or species are often considered to be the main mediators of antibiotic resistance. However, mutational resistance has been invaluable in studies of bacterial genetics, and also has primary clinical importance in certain bacterial species, such as Mycobacterium tuberculosis and Helicobacter pylori, or when considering resistance to particular antibiotics, especially to synthetic agents such as fluoroquinolones and oxazolidinones. In addition, mutation is essential for the continued evolution of acquired resistance genes and has, e.g., given rise to over variants of the TEM family of beta-lactamases. Hypermutator strains of bacteria, which have mutations in genes affecting DNA repair and replication fidelity, have elevated mutation rates. Mutational resistance emerges de novo more readily in these hypermutable strains, and they also provide a suitable host background for the evolution of acquired resistance genes in vitro. In the clinical setting, hypermutator strains of Pseudomonas aeruginosa have been isolated from the lungs of cystic fibrosis patients, but a more general role for hypermutators in the emergence of clinically relevant antibiotic resistance in a wider variety of bacterial pathogens has not yet been proven."
baseline,39,24,gastritis · patients · dyspepsia,gastritis; patients; dyspepsia; endoscopic; prevalence; endoscopy; dyspeptic; atrophy; was; chronic,371.0,371,4963.0,13.377,2015.42,2015.0,2005,2025,5,23369058 | 28223833 | 19533805 | 15682469 | 19629687,"Diagnosis of Helicobacter pylori infection in gastric mucosa by endoscopic features: a multicenter prospective study. | Autoimmune atrophic gastritis: current perspectives. | Gastroenterology in developing countries: issues and advances. | Helicobacter pylori infection, glandular atrophy and intestinal metaplasia in superficial gastritis, gastric erosion, erosive gastritis, gastric ulcer and early gastric cancer. | The correlation of endoscopic and histological diagnosis of gastric atrophy.",23369058,2013,142,,Diagnosis of Helicobacter pylori infection in gastric mucosa by endoscopic features: a multicenter prospective study.,"BACKGROUND: Endoscopic features corresponding to pathological findings in the Sydney System have not been identified, and endoscopic diagnosis of chronic gastritis has not yet been established. To establish the diagnosis of Helicobacter pylori (H. pylori) infection in gastric mucosa by endoscopic features, a prospective multicenter study was carried out. PATIENTS AND METHODS: Two hundred and ninety-seven registered patients from facilities between March and February were enrolled. Association between endoscopic findings (conventional findings and indigocarmine contrast (IC) method findings) and diagnosis of H. pylori infection made by microscopic observation of biopsy specimens was investigated in the corpus and antrum and their diagnostic accuracies were investigated. RESULTS: Two hundred and seventy-five patients were analyzed. The area under the receiver operating characteristic (ROC) curve for H. pylori infection of conventional endoscopy was in thecorpus and in the antrum (P = ). Evaluation of diffuse redness, spotty redness and mucosal swelling by conventional endoscopy and swelling of areae gastricae by the indigocarmine contrast (IC) method were useful for diagnosing H. pylori infection. Regular arrangement of collecting venules (RAC) in the angle, fundic gland polyposis, hemorrhagic erosion and bleeding spot in the corpus and red streaks, and erosions (flat, raised, hemorrhagic and bleeding spot) in the antrum may be used as diagnostic features suggesting negative H. pylori infection. CONCLUSION: It is suggested that endoscopic diagnosis of H. pylori infection in gastric mucosa by conventional endoscopy and the IC method is mostly possible."
baseline,39,25,bariatric · surgery · preoperative,bariatric; surgery; preoperative; gastrectomy; sleeve; lsg; postoperative; bypass; laparoscopic; patients,250.0,250,4996.0,19.984,2017.696,2018.0,2005,2025,5,17514403 | 24418167 | 20135170 | 19626382 | 18514584,"Marginal ulceration after laparoscopic gastric bypass: an analysis of predisposing factors in 260 patients. | Incidental and ablation-induced findings during upper gastrointestinal endoscopy in patients after ablation of atrial fibrillation: a retrospective study of 425 patients. | Effort, safety, and findings of routine preoperative endoscopic evaluation of morbidly obese patients undergoing bariatric surgery. | Laparoscopic sleeve gastrectomy with duodenojejunal bypass: technique and preliminary results. | Screening endoscopy before bariatric surgery: a series of 448 patients.",17514403,2007,276,,Marginal ulceration after laparoscopic gastric bypass: an analysis of predisposing factors in 260 patients.,"BACKGROUND: Marginal ulceration after Roux-en-Y gastric bypass (RYGB) is diagnosed in % to % of patients. The factors predisposing patients to marginal ulceration are still unclear. METHODS: A total of patients who underwent laparoscopic RYGB were retrospectively reviewed. Data regarding demographics, comorbidities, body mass index (BMI), Helicobacter pylori infection, gastrojejunal (GJ) anastomotic leaks, postoperative bleeding, operative time, type of suture material, and marginal ulcer formation were collected. Fisher's exact test was used for statistical analysis of discrete variables, and Student's t-test was used for continuous variables. Statistical significance was set at an alpha of . RESULTS: The overall marginal ulceration rate was %. Demographic data (age, gender distribution, BMI) did not differ significantly between patients who experienced marginal ulceration and those who did not (p > ). Similarly, technical factors (choice of permanent or absorbable suture for the GJ anastomosis, attending as primary surgeon, robotic GJ, operative time, postoperative hematocrit drop) were not statistically different between the two groups (p > ). Finally, the prevalence of comorbidities (diabetes, hypertension, obstructive sleep apnea, musculoskeletal complaints, dyslipidemia, gastroesophageal reflux disease [GERD] and peptic ulcer disease [PUD]) did not differ significantly between the two groups (p > ). However, preoperative H. pylori infection, although adequately treated, was twice as common among the patients who had marginal ulceration (%) as among those who did not (%) (p = ). All the patients who experienced marginal ulcers had complete resolution of symptoms with proton pump inhibitors and sucralfate. No reoperations were required for marginal ulceration. CONCLUSION: Helicobacter pylori may potentiate marginal ulcer formation. The authors hypothesize that H. pylori damages the mucosal barrier in a way that persists postoperatively, which may precipitate marginal ulceration even when the organism has been medically eradicated."
baseline,39,26,oxidative · damage · dna,oxidative; damage; dna; stress; ros; cells; oxygen; reactive; gastric; repair,308.0,308,13223.0,42.932,2014.604,2014.0,2005,2025,5,30340457 | 18521188 | 16606333 | 21896770 | 28062361,Inflammation and cancer. | DNA damage induced by chronic inflammation contributes to colon carcinogenesis in mice. | Oxidative and nitrative DNA damage in animals and patients with inflammatory diseases in relation to inflammation-related carcinogenesis. | Carcinogenic bacterial pathogen Helicobacter pylori triggers DNA double-strand breaks and a DNA damage response in its host cells. | Redox signaling in the gastrointestinal tract.,30340457,2018,578,,Inflammation and cancer.,"Infection and inflammation account for approximately % of cancer-causing factors. Inflammation-related cancers are characterized by mutagenic DNA lesions, such as -oxo-,-dihydro-'-deoxyguanosine (-oxodG) and -nitroguanine. Our previous studies demonstrated the formation of -oxodG and -nitroguanine in the tissues of cancer and precancerous lesions due to infection (e.g., Opisthorchis viverrini-related cholangiocarcinoma, Schistosoma haematobium-associated bladder cancer, Helicobacter pylori-infected gastric cancer, human papillomavirus-related cervical cancer, Epstein-Barr virus-infected nasopharyngeal carcinoma) and pro-inflammatory factors (e.g., asbestos, nanomaterials, and inflammatory diseases such as Barrett's esophagus and oral leukoplakia). Interestingly, several of our studies suggested that inflammation-associated DNA damage in cancer stem-like cells leads to cancer development with aggressive clinical features. Reactive oxygen/nitrogen species from inflammation damage not only DNA but also other biomacromolecules, such as proteins and lipids, resulting in their dysfunction. We identified oxidatively damaged proteins in cancer tissues by 2D Oxyblot followed by MALDI-TOF/TOF. As an example, oxidatively damaged transferrin released iron ion, which may mediate Fenton reactions and generate additional reactive oxygen species. Dysfunction of anti-oxidative proteins due to this damage might increase oxidative stress. Such damage in biomacromolecules may form a vicious cycle of oxidative stress, leading to cancer development. Epigenetic alterations such as DNA methylation and microRNA dysregulation play vital roles in carcinogenesis, especially in inflammation-related cancers. We examined epigenetic alterations, DNA methylation and microRNA dysregulation, in Epstein-Barr virus-related nasopharyngeal carcinoma in the endemic area of Southern China and found several differentially methylated tumor suppressor gene candidates by using a next-generation sequencer. Among these candidates, we revealed higher methylation rates of RAS-like estrogen-regulated growth inhibitor (RERG) in biopsy specimens of nasopharyngeal carcinoma more conveniently by using restriction enzyme-based real-time PCR. This result may help to improve cancer screening strategies. We profiled microRNAs of nasopharyngeal carcinoma tissues using microarrays. Quantitative RT-PCR analysis confirmed the concordant downregulation of miR- in cancer tissues and plasma, suggesting that plasma miR- could be used as a diagnostic biomarker for nasopharyngeal carcinoma. Chronic inflammation promotes genetic and epigenetic aberrations, with various pathogeneses. These changes may be useful biomarkers in liquid biopsy for early detection and prevention of cancer."
baseline,39,27,itp · platelet · thrombocytopenia,itp; platelet; thrombocytopenia; purpura; thrombocytopenic; count; idiopathic; counts; immune; patients,219.0,219,4861.0,22.196,2013.854,2013.0,2005,2025,5,18945961 | 19245930 | 17561502 | 19483158 | 15765787,Effects of eradication of Helicobacter pylori infection in patients with immune thrombocytopenic purpura: a systematic review. | Pathobiology of secondary immune thrombocytopenia. | Effect of Helicobacter pylori eradication on platelet count in idiopathic thrombocytopenic purpura: a systematic review and meta-analysis. | Platelet count response to H. pylori treatment in patients with immune thrombocytopenic purpura with and without H. pylori infection: a systematic review. | Is eradication therapy useful as the first line of treatment in Helicobacter pylori-positive idiopathic thrombocytopenic purpura? Analysis of 207 eradicated chronic ITP cases in Japan.,18945961,2008,324,,Effects of eradication of Helicobacter pylori infection in patients with immune thrombocytopenic purpura: a systematic review.,"Whether the eradication of Helicobacter pylori infection can increase the platelet count in patients with immune thrombocytopenic purpura (ITP) is still a controversial issue. To provide evidence-based guidance, we performed a systematic review of the literature published in English, selecting articles reporting or more total patients. We identified studies including patients, of whom were evaluable for the effects of H pylori eradication on platelet count. The weighted mean complete response (platelet count > or = x ()/L) and overall response (platelet count > or = x ()/L and at least doubling of the basal count) were % (% confidence interval [CI], %-%) and % (% CI, %-%), respectively. In patients with a baseline platelet count less than x ()/L, the complete response rate was % (% CI, %-%) and the overall response rate was % (% CI, %-%). The response rate tended to be higher in countries with a high background prevalence of H pylori infection and in patients with milder degrees of thrombocytopenia. These findings suggest that the detection and eradication of H pylori infection should be considered in the work-up of patients with seemingly typical ITP."
baseline,39,28,diabetes · diabetic · mellitus,diabetes; diabetic; mellitus; dm; insulin; type; t2dm; infection; hba1c; glucose,244.0,244,6397.0,26.217,2016.533,2017.0,2005,2025,5,22279028 | 21435084 | 19086952 | 23395214 | 19236964,Helicobacter pylori infection is associated with an increased rate of diabetes. | The association between Helicobacter pylori infection and insulin resistance: a systematic review. | Helicobacter pylori infection is significantly associated with metabolic syndrome in the Japanese population. | Association between Helicobacter pylori infection and diabetes mellitus: a meta-analysis of observational studies. | Hyperglycemia increases risk of gastric cancer posed by Helicobacter pylori infection: a population-based cohort study.,22279028,2012,217,,Helicobacter pylori infection is associated with an increased rate of diabetes.,"OBJECTIVE: Chronic infections could be contributing to the socioeconomic gradient in chronic diseases. Although chronic infections have been associated with increased levels of inflammatory cytokines and cardiovascular disease, there is limited evidence on how infections affect risk of diabetes. RESEARCH DESIGN AND METHODS: We examined the association between serological evidence of chronic viral and bacterial infections and incident diabetes in a prospective cohort of Latino elderly. We analyzed data on individuals aged > years and diabetes-free in -, whose blood was tested for antibodies to herpes simplex virus , varicella virus, cytomegalovirus, Helicobacter pylori, and Toxoplasma gondii and who were followed until June . We used Cox proportional hazards regression to estimate the relative incidence rate of diabetes by serostatus, with adjustment for age, sex, education, cardiovascular disease, smoking, and cholesterol levels. RESULTS: Individuals seropositive for herpes simplex virus , varicella virus, cytomegalovirus, and T. gondii did not show an increased rate of diabetes, whereas those who were seropositive for H. pylori at enrollment were times more likely at any given time to develop diabetes than seronegative individuals (hazard ratio [% CI -]). Controlling for insulin resistance, C-reactive protein and interleukin- did not attenuate the effect of H. pylori infection. CONCLUSIONS: We demonstrated for the first time that H. pylori infection leads to an increased rate of incident diabetes in a prospective cohort study. Our findings implicate a potential role for antibiotic and gastrointestinal treatment in preventing diabetes."
baseline,39,29,metachronous · cancer · eradication,metachronous; im; cancer; eradication; resection; after; endoscopic; gastric; esd; egc,338.0,338,19410.0,57.426,2016.728,2017.0,2005,2025,5,18675689 | 29445300 | 26836587 | 19625077 | 29562147,"Effect of eradication of Helicobacter pylori on incidence of metachronous gastric carcinoma after endoscopic resection of early gastric cancer: an open-label, randomised controlled trial. | Gastric cancer: epidemiology, prevention, classification, and treatment. | Association Between Helicobacter pylori Eradication and Gastric Cancer Incidence: A Systematic Review and Meta-analysis. | Gastric cancer. | Helicobacter pylori Therapy for the Prevention of Metachronous Gastric Cancer.",18675689,2008,1220,,"Effect of eradication of Helicobacter pylori on incidence of metachronous gastric carcinoma after endoscopic resection of early gastric cancer: an open-label, randomised controlled trial.","BACKGROUND: The relation between Helicobacter pylori infection and gastric cancer has been proven in epidemiological studies and animal experiments. Our aim was to investigate the prophylactic effect of H pylori eradication on the development of metachronous gastric carcinoma after endoscopic resection for early gastric cancer. METHODS: In this multi-centre, open-label, randomised controlled trial, patients with early gastric cancer, either newly diagnosed and planning to have endoscopic treatment or in post-resection follow-up after endoscopic treatment, were randomly assigned to receive an H pylori eradication regimen (n=) or control (n=). Randomisation was done by a computer-generated randomisation list and was stratified by whether the patient was newly diagnosed or post-resection. Patients in the eradication group received lansoprazole mg twice daily, amoxicillin mg twice daily, and clarithromycin mg twice daily for a week; those in the control group received standard care, but no treatment for H pylori. Patients were examined endoscopically at , , , and months after allocation. The primary endpoint was diagnosis of new carcinoma at another site in the stomach. Analyses were by intention to treat. This trial is registered with the UMIN Clinical Trials Registry, number UMIN000001169. FINDINGS: At -year follow-up, metachronous gastric carcinoma had developed in nine patients in the eradication group and in the control group. In the full intention-to-treat population, including all patients irrespective of length of follow-up ( patients in each group), the odds ratio for metachronous gastric carcinoma was (% CI -; p=); in the modified intention-to-treat population, including patients with at least one post-randomisation assessment of tumour status and adjusting for loss to follow-up ( patients in the eradication group, in the control group), the hazard ratio for metachronous gastric carcinoma was (% CI -; p=). In the eradication group, (%) patients had diarrhoea and (%) had soft stools. INTERPRETATION: Prophylactic eradication of H pylori after endoscopic resection of early gastric cancer should be used to prevent the development of metachronous gastric carcinoma. FUNDING: Hiroshima Cancer Seminar Foundation."
baseline,39,30,atherosclerosis · coronary · stroke,atherosclerosis; coronary; stroke; carotid; cardiovascular; risk; chd; heart; af; infection,246.0,246,5466.0,22.22,2014.785,2015.0,2005,2025,5,21060340 | 19901154 | 18599062 | 26139132 | 22189198,"Common infections and the risk of stroke. | Infectious burden and risk of stroke: the northern Manhattan study. | CagA antigen of Helicobacter pylori and coronary instability: insight from a clinico-pathological study and a meta-analysis of 4241 cases. | The detection and role of heat shock protein 70 in various nondisease conditions and disease conditions: a literature review. | Helicobacter pylori infection, chronic atrophic gastritis and major cardiovascular events: a population-based cohort study.",21060340,2010,186,,Common infections and the risk of stroke.,"The occurrence of stroke in populations is incompletely explained by traditional vascular risk factors. Data from several case-control studies and one large study using case series methodology indicate that recent infection is a temporarily acting, independent trigger factor for ischemic stroke. Both bacterial and viral infections, particularly respiratory tract infections, contribute to this association. A causal role for infection in stroke is supported by a graded temporal relationship between these conditions, and by multiple pathophysiological pathways linking infection and inflammation, thrombosis, and stroke. Furthermore, observational studies suggest that influenza vaccination confers a preventive effect against stroke. Case-control and prospective studies indicate that chronic infections, such as periodontitis, chronic bronchitis and infection with Helicobacter pylori, Chlamydia pneumoniae or Cytomegalovirus, might increase stroke risk, although considerable variation exists in the results of these studies, and methodological issues regarding serological results remain unresolved. Increasing evidence indicates that the aggregate burden of chronic and/or past infections rather than any one single infectious disease is associated with the risk of stroke. Furthermore, genetic predispositions relating to infection susceptibility and the strength of the inflammatory response seem to co-determine this risk. Here, we summarize and analyze the evidence for common acute and chronic infectious diseases as stroke risk factors."
baseline,39,31,species · suis · dogs,species; suis; dogs; spp; nhph; helicobacter; heilmannii; cats; humans; animals,236.0,236,13608.0,57.661,2015.585,2016.0,2005,2025,5,34211344 | 19366912 | 18323583 | 15872252 | 28151409,"Bacterial Infections in Humans and Nonhuman Primates from Africa: Expanding the Knowledge. | Gastric helicobacters in domestic animals and nonhuman primates and their significance for human health. | Macaque models of human infectious disease. | Identification of non-Helicobacter pylori spiral organisms in gastric samples from humans, dogs, and cats. | Helicobacter pylori-induced gastric pathology: insights from in vivo and ex vivo models.",34211344,2021,7961,,Bacterial Infections in Humans and Nonhuman Primates from Africa: Expanding the Knowledge.,"The close phylogenetic relationship between humans and other primates creates exceptionally high potential for pathogen exchange. The surveillance of pathogens in primates plays an important role in anticipating possible outbreaks. In this study, we conducted a molecular investigation of pathogenic bacteria in feces from African nonhuman primates (NHPs). We also investigated the pathogens shared by the human population and gorillas living in the same territory in the Republic of Congo. In total, % of NHPs (n=) and % (n=) of humans were found to carry at least one bacterium. Non-pallidum Treponema spp. (including T. succinifaciens, T. berlinense, and several potential new species) were recovered from stools of % of great apes, % of monkeys, and % of humans. Non-tuberculosis Mycobacterium spp. were also common in almost all NHP species as well as in humans. In addition, Acinetobacter spp., members of the primate gut microbiota, were mainly prevalent in human and gorilla. Pathogenic Leptospira spp. were highly present in humans (%) and gorillas (%) stool samples in Congo, but were absent in the other NHPs, therefore suggesting a possible gorillas-humans exchange. Particular attention will be necessary for enteropathogenic bacteria detected in humans such as Helicobacter pylori, Salmonella spp. (including S. typhi/paratyphi), Staphyloccocus aureus, and Tropheryma whipplei, some of which were also present in gorillas in the same territory (S. aureus and T. whipplei). This study enhances our knowledge of pathogenic bacteria that threaten African NHPs and humans by using a non-invasive sampling technique. Contact between humans and NHPs results in an exchange of pathogens. Ongoing surveillance, prevention, and treatment strategies alone will limit the spread of these infectious agents."
baseline,39,32,guidelines · consensus · management,guidelines; consensus; management; knowledge; physicians; recommendations; practice; treatment; gastroenterologists; infection,237.0,237,16575.0,69.937,2017.532,2019.0,2005,2025,5,27707777 | 17170018 | 22491499 | 26187502 | 35944925,Management of Helicobacter pylori infection-the Maastricht V/Florence Consensus Report. | Current concepts in the management of Helicobacter pylori infection: the Maastricht III Consensus Report. | Management of Helicobacter pylori infection--the Maastricht IV/ Florence Consensus Report. | Kyoto global consensus report on Helicobacter pylori gastritis. | Management of Helicobacter pylori infection: the Maastricht VI/Florence consensus report.,27707777,2016,2826,,Management of Helicobacter pylori infection-the Maastricht V/Florence Consensus Report.,"Important progress has been made in the management of Helicobacter pylori infection and in this fifth edition of the Maastricht Consensus Report, key aspects related to the clinical role of H. pylori were re-evaluated in . In the Maastricht V/Florence Consensus Conference, experts from countries examined new data related to H. pylori in five subdivided workshops: () Indications/Associations, () Diagnosis, () Treatment, () Prevention/Public Health, () H. pylori and the Gastric Microbiota. The results of the individual workshops were presented to a final consensus voting that included all participants. Recommendations are provided on the basis of the best available evidence and relevance to the management of H. pylori infection in the various clinical scenarios."
baseline,39,33,lactobacillus · probiotic · plantarum,lactobacillus; probiotic; plantarum; probiotics; strains; lab; lactobacilli; activity; cells; rhamnosus,199.0,199,6601.0,33.171,2016.985,2018.0,2005,2025,5,16368998 | 17311980 | 16696680 | 23488471 | 19116692,GroEL of Lactobacillus johnsonii La1 (NCC 533) is cell surface associated: potential role in interactions with the host and the gastric pathogen Helicobacter pylori. | Helicobacter pylori and probiotics. | Antagonistic activity of probiotic lactobacilli and bifidobacteria against entero- and uropathogens. | Genomic and phenotypic evidence for probiotic influences of Lactobacillus gasseri on human health. | Probiotic potential of lactic acid bacteria isolated from fermented dairy milks on antiproliferation of colon cancer cells.,16368998,2005,286,,GroEL of Lactobacillus johnsonii La1 (NCC 533) is cell surface associated: potential role in interactions with the host and the gastric pathogen Helicobacter pylori.,"Heat shock proteins of the GroEL or Hsp60 class are highly conserved proteins essential to all living organisms. Even though GroEL proteins are classically considered intracellular proteins, they have been found at the surface of several mucosal pathogens and have been implicated in cell attachment and immune modulation. The purpose of the present study was to investigate the GroEL protein of a gram-positive probiotic bacterium, Lactobacillus johnsonii La1 (NCC ). Its presence at the bacterial surface was demonstrated using a whole-cell enzyme-linked immunosorbent assay and could be detected in bacterial spent culture medium by immunoblotting. To assess binding of La1 GroEL to mucins and intestinal epithelial cells, the La1 GroEL protein was expressed in Escherichia coli. We report here that La1 recombinant GroEL (rGroEL) binds to mucins and epithelial cells and that this binding is pH dependent. Immunomodulation studies showed that La1 rGroEL stimulates interleukin- secretion in macrophages and HT29 cells in a CD14-dependent mechanism. This property is common to rGroEL from other gram-positive bacteria but not to the rGroEL of the gastric pathogen Helicobacter pylori. In addition, La1 rGroEL mediates the aggregation of H. pylori but not that of other intestinal pathogens. Our in vitro results suggest that GroEL proteins from La1 and other lactic acid bacteria might play a role in gastrointestinal homeostasis due to their ability to bind to components of the gastrointestinal mucosa and to aggregate H. pylori."
baseline,39,34,breath · ubt · test,breath; ubt; test; urea; 13curea; 13cubt; accuracy; specificity; tests; positive,235.0,235,3469.0,14.762,2012.877,2013.0,2005,2025,5,25632206 | 18566138 | 17652042 | 19368506 | 19505663,Accuracy of urea breath test in Helicobacter pylori infection: meta-analysis. | Urease-positive bacteria in the stomach induce a false-positive reaction in a urea breath test for diagnosis of Helicobacter pylori infection. | 13C-breath tests: current state of the art and future directions. | Accuracy of diagnostic tests for Helicobacter pylori: a reappraisal. | Methods and functions: Breath tests.,25632206,2015,196,,Accuracy of urea breath test in Helicobacter pylori infection: meta-analysis.,"AIM: To quantitatively summarize and appraise the available evidence of urea breath test (UBT) use to diagnose Helicobacter pylori (H. pylori) infection in patients with dyspepsia and provide pooled diagnostic accuracy measures. METHODS: We searched MEDLINE, EMBASE, Cochrane library and other databases for studies addressing the value of UBT in the diagnosis of H. pylori infection. We included cross-sectional studies that evaluated the diagnostic accuracy of UBT in adult patients with dyspeptic symptoms. Risk of bias was assessed using QUADAS (Quality Assessment of Diagnostic Accuracy Studies)- tool. Diagnostic accuracy measures were pooled using the random-effects model. Subgroup analysis was conducted by UBT type (13C vs 14C) and by measurement technique (Infrared spectrometry vs Isotope Ratio Mass Spectrometry). RESULTS: Out of studies identified, only met the eligibility criteria. Fourteen studies (%) evaluated 13C UBT and studies (%) evaluated 14C UBT. There was significant variation in the type of reference standard tests used across studies.Pooled sensitivity was (%CI: -) andpooled specificity was (%CI: -). Likelihood ratio for a positive test was and for a negative test was with an area under thecurve of . Meta-analyses were associated with a significant statistical heterogeneity that remained unexplained after subgroup analysis. The included studies had a moderate risk of bias. CONCLUSION: UBT has high diagnostic accuracy for detecting H. pylori infection in patients with dyspepsia. The reliability of diagnostic meta-analytic estimates however is limited by significant heterogeneity."
baseline,39,35,intake · cancer · dietary,intake; cancer; dietary; risk; consumption; smoking; alcohol; ci; factors; salt,272.0,272,13879.0,51.026,2015.603,2015.0,2005,2025,5,19107449 | 22844547 | 17577615 | 22271764 | 16849680,"Epidemiology of stomach cancer. | Carcinoma of the stomach: A review of epidemiology, pathogenesis, molecular genetics and chemoprevention. | Diet and the risk of gastric cancer: review of epidemiological evidence. | Fifteen-year effects of Helicobacter pylori, garlic, and vitamin treatments on gastric cancer incidence and mortality. | Randomized double-blind factorial trial of three treatments to reduce the prevalence of precancerous gastric lesions.",19107449,2008,597,,Epidemiology of stomach cancer.,"Despite a major decline in incidence and mortality over several decades, stomach cancer is still the fourth most common cancer and the second most common cause of cancer death in the world. There is a -fold variation in incidence between populations at the highest and lowest risk. The incidence is particularly high in East Asia, Eastern Europe, and parts of Central and South America, and it is about twice as high among men than among women. Prognosis is generally rather poor, with -year relative survival below % in most countries. The best established risk factors for stomach cancer are Helicobacter pylori infection, the by far strongest established risk factor for distal stomach cancer, and male sex, a family history of stomach cancer, and smoking. While some factors related to diet and food preservation, such as high intake of salt-preserved foods and dietary nitrite or low intake of fruit and vegetables, are likely to increase the risk of stomach cancer, the quantitative impact of many dietary factors remains uncertain, partly due to limitations of exposure assessment and control for confounding factors. Future epidemiologic research should pay particular attention to differentiation of stomach cancer epidemiology by subsite, and to exploration of potential interactions between H. pylori infection, genetic, and environmental factors."
baseline,39,36,laryngeal · ear · nasal,laryngeal; ear; nasal; adenoid; otitis; effusion; tonsillitis; middle; tonsillar; ome,167.0,167,2514.0,15.054,2013.485,2013.0,2005,2025,5,16647533 | 15885326 | 16309749 | 18648836 | 28474959,Helicobacter pylori: a possible association with otitis media with effusion. | Does Helicobacter pylori have role in development of otitis media with effusion? | Chronic otitis media with effusion and Helicobacter pylori. | Association of laryngopharyngeal manifestations and gastroesophageal reflux. | Is a Multidisciplinary Aerodigestive Clinic More Effective at Treating Recalcitrant Aerodigestive Complaints Than a Single Specialist?,16647533,2006,62,,Helicobacter pylori: a possible association with otitis media with effusion.,"OBJECTIVE: Evaluate possible role of Helicobacter Pylori in pathogenesis of otitis media with effusion (OME). STUDY DESIGN AND SETTING: Randomized controlled trial, tertiary referral center. STUDY GROUP: Middle ear fluid was aspirated, a biopsy was taken from the promontorium of children with OME. CONTROL GROUP: A small biopsy was taken from the promontorium of children with normal otologic findings. For both groups, mm deep tissue specimens were obtained from tonsil and adenoid. RESULTS: H pylori presence in the middle ear, the tonsillar and adenoid tissues by culture and PCR was significantly more frequent in the study group compared to the control group (P<). CONCLUSIONS: This study is the first to grow H pylori in middle ear in OME. Significantly increased colonization by H pylori of the middle ear, and tonsillar and adenoid tissue in patients with OME indicates that the bacteria might be involved in the pathogenesis of OME. EBM RATING: A-1b."
